 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   4.11.2021    Time:  22: 5:27
 Units: L = m    , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency
      162  0.1580000E+03  0.10000E+01    2      453     0    -5     T
      163  0.1585000E+03  0.50000E+00    5      458     0    -5     T
      164  0.1590000E+03  0.50000E+00    4      462     0    -5     T
      165  0.1600000E+03  0.10000E+01    4      466     0    -5     T
      166  0.1610000E+03  0.10000E+01    3      469     0    -5     T
      167  0.1620000E+03  0.10000E+01    2      471     0    -5     T
      168  0.1630000E+03  0.10000E+01    2      473     0    -5     T
      169  0.1640000E+03  0.10000E+01    2      475     0    -5     T
      170  0.1650000E+03  0.10000E+01    2      477     0    -5     T
      171  0.1660000E+03  0.10000E+01    2      479     0    -5     T
      172  0.1670000E+03  0.10000E+01    2      481     0    -5     T
      173  0.1675000E+03  0.50000E+00    2      483     0    -5     T
      174  0.1680000E+03  0.50000E+00    2      485     0    -5     T
      175  0.1685000E+03  0.50000E+00    4      489     0    -5     T
      176  0.1690000E+03  0.50000E+00    4      493     0    -5     T
      177  0.1700000E+03  0.10000E+01    4      497     0    -5     T
      178  0.1705000E+03  0.50000E+00    4      501     0    -5     T
      179  0.1710000E+03  0.50000E+00    4      505     0    -5     T
      180  0.1720000E+03  0.10000E+01    4      509     0    -5     T
      181  0.1730000E+03  0.10000E+01    3      512     0    -5     T
      182  0.1735000E+03  0.50000E+00    2      514     0    -5     T
      183  0.1740000E+03  0.50000E+00    2      516     0    -5     T
      184  0.1750000E+03  0.10000E+01    2      518     0    -5     T
      185  0.1760000E+03  0.10000E+01    2      520     0    -5     T
      186  0.1770000E+03  0.10000E+01    2      522     0    -5     T
      187  0.1780000E+03  0.10000E+01    2      524     0    -5     T
      188  0.1790000E+03  0.10000E+01    2      526     0    -5     T
      189  0.1800000E+03  0.10000E+01    2      528     0    -5     T
      190  0.1810000E+03  0.10000E+01    2      530     0    -5     T
      191  0.1815000E+03  0.50000E+00    4      534     0    -5     T
      192  0.1820000E+03  0.50000E+00    4      538     0    -5     T
      193  0.1830000E+03  0.10000E+01    4      542     0    -5     T
      194  0.1835000E+03  0.50000E+00    4      546     0    -5     T
      195  0.1840000E+03  0.50000E+00    2      548     0    -5     T
      196  0.1850000E+03  0.10000E+01    2      550     0    -5     T
      197  0.1860000E+03  0.10000E+01    3      553     0    -5     T
      198  0.1870000E+03  0.10000E+01    2      555     0    -5     T
      199  0.1880000E+03  0.10000E+01    2      557     0    -5     T
      200  0.1885000E+03  0.50000E+00    2      559     0    -5     T
      201  0.1890000E+03  0.50000E+00    2      561     0    -5     T
      202  0.1900000E+03  0.10000E+01    2      563     0    -5     T
      203  0.1905000E+03  0.50000E+00    4      567     0    -5     T
