 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   4.11.2021    Time:  22: 5:27
 Units: L = m    , T = days , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

      27.0000  0.00000E+00  0.00000E+00  0.14552E-09  0.00000E+00 -0.75704E-03 -0.50000E-02  0.00000E+00 -0.50000E-02  0.00000E+00 -0.25634E-01 -0.45321E+01  0.00000E+00 -0.38919E+01  0.00000E+00  0.00000E+00  0.38978E+00  0.00000E+00  0.59626E-08     27  0.00000E+00      0.000
      28.0000 -0.50071E-02  0.00000E+00 -0.50071E-02  0.00000E+00 -0.74883E-03 -0.10007E-01  0.00000E+00 -0.10007E-01  0.00000E+00 -0.26383E-01 -0.35257E+01  0.00000E+00 -0.39103E+01  0.00000E+00  0.00000E+00  0.39404E+00  0.00000E+00  0.59626E-08     28  0.00000E+00      0.000
      29.0000 -0.10014E-02  0.00000E+00 -0.10014E-02  0.00000E+00 -0.74132E-03 -0.11009E-01  0.00000E+00 -0.11009E-01  0.00000E+00 -0.27124E-01 -0.37652E+01  0.00000E+00 -0.39269E+01  0.00000E+00  0.00000E+00  0.39430E+00  0.00000E+00  0.59626E-08     29  0.00000E+00      0.000
      30.0000  0.00000E+00  0.00000E+00 -0.87311E-09  0.00000E+00 -0.73508E-03 -0.11009E-01  0.00000E+00 -0.11009E-01  0.00000E+00 -0.27860E-01 -0.40271E+01  0.00000E+00 -0.39410E+01  0.00000E+00  0.00000E+00  0.39356E+00  0.00000E+00  0.59626E-08     30  0.00000E+00      0.000
      31.0000 -0.10000E-01  0.00000E+00 -0.10000E-01  0.00000E+00 -0.73081E-03 -0.21008E-01  0.00000E+00 -0.21009E-01  0.00000E+00 -0.28590E-01 -0.28085E+01  0.00000E+00 -0.39507E+01  0.00000E+00  0.00000E+00  0.40283E+00  0.00000E+00  0.59626E-08     31  0.00000E+00      0.000
      32.0000  0.00000E+00  0.00000E+00  0.93132E-09  0.00000E+00 -0.72979E-03 -0.21008E-01  0.00000E+00 -0.21009E-01  0.00000E+00 -0.29320E-01 -0.34244E+01  0.00000E+00 -0.39534E+01  0.00000E+00  0.00000E+00  0.40210E+00  0.00000E+00  0.68940E-08     32  0.00000E+00      0.000
      32.5000 -0.20000E-02  0.00000E+00 -0.20000E-02  0.00000E+00 -0.73027E-03 -0.22008E-01  0.00000E+00 -0.22009E-01  0.00000E+00 -0.29685E-01 -0.33769E+01  0.00000E+00 -0.39528E+01  0.00000E+00  0.00000E+00  0.40274E+00  0.00000E+00  0.68940E-08     33  0.00000E+00      0.000
      33.0000 -0.20000E-02  0.00000E+00 -0.20000E-02  0.00000E+00 -0.73141E-03 -0.23008E-01  0.00000E+00 -0.23009E-01  0.00000E+00 -0.30051E-01 -0.33649E+01  0.00000E+00 -0.39500E+01  0.00000E+00  0.00000E+00  0.40337E+00  0.00000E+00  0.68940E-08     34  0.00000E+00      0.000
      33.5000 -0.10000E-02  0.00000E+00 -0.10000E-02  0.00000E+00 -0.73379E-03 -0.23508E-01  0.00000E+00 -0.23509E-01  0.00000E+00 -0.30418E-01 -0.34630E+01  0.00000E+00 -0.39452E+01  0.00000E+00  0.00000E+00  0.40351E+00  0.00000E+00  0.68940E-08     35  0.00000E+00      0.000
      34.0000 -0.10000E-02  0.00000E+00 -0.10000E-02  0.00000E+00 -0.73703E-03 -0.24008E-01  0.00000E+00 -0.24008E-01  0.00000E+00 -0.30786E-01 -0.34981E+01  0.00000E+00 -0.39383E+01  0.00000E+00  0.00000E+00  0.40364E+00  0.00000E+00  0.68940E-08     36  0.00000E+00      0.000
